reviewstext,reviews_rating,reviews_numhelpful
keyboard very easy type fingerprint reader best feature very accurate simplifies login,5,-1
thin light can type pretty easily,4,-1
love new design keys spaced well no more mis types finger print recognition work ok use surface pro 3,4,-1
attached easily firmly has nice feel must surface pro,5,-1
original keyboard okay did not laptop feel bit floppy new one has solid feel keys more laptoplike,5,-1
purchased replace original surface pro 3 keyboard much better feel fingerprint reader handy feature,5,-1
find very comfortable type rarely use fingerprint id,4,-1
good keyboard addition surface pro platform if desire fingerprint scanner access use surface pro keyboard without fingerprint scanner works just fine,3,-1
tough getting work surface pro 3 once worked bugs out love spacing larger touchpad,4,-1
can now quickly hassle free log into surface finger print scanner works every time no problems getting recognize fingerprint keys being spaced out also huge plus,5,-1
must accessory surface pro computer,5,-1
fingerprint scanner price not worth very good keyboard fp scanner should standard,4,-1
keyboard feels surprisingly good considering thin keys satisfying tactile response dont feel rubbery build quality excellent though typecover isnt rigid normal keyboard doesnt feel though bend break overall excellent product only complaint fingerprint reader doesnt consistently read finger almost always scan finger 34 times before read thankfully scanning process very fast still leave something desired may software problem hard say said still give product 45 stars,4,-1
really like fingerprint id makes logging very easy fast key keyboard very smooth,4,-1
good product expensive easy setup plenty nice features,4,-1
best keyboard must using tablet always connected,5,-1
keyboard works perfectly no complaints nice touch keys illumination just right,5,1
coming mechanical switch keyboards thinkpads typing upwards 120 wpm im really picky about keyboards having tried so type cover keyboards clearly best even better than lot laptop keyboards market tactile audible feedback key travel effective palm rejection full size keyboard easy toggling between top row special keys function keys pressing fn key large glassy smooth touchpad backlight bonus fingerprint reader easy biometric login thin light package perfect surface pro 4 even backwards compatible surface pro 3,5,1
keyboard solid works great love cover too,4,1
did not get surface pro 4 because surface pro 3 has treating very well decide however get new pen keyboardfirst windows hello feature works flawlesslysecond typing experience completely different so much so wonder microsoft did not start herei recommend get keyboard change typing experience surface line products,5,1
good keyboard like fingerprint reader fast accurate,5,1
bought surface pro 4 even though has windows hello extra login options love type cover because feels great hand carrying around keys feel like real laptop highly recommend both sp4 sp3 users,5,1
bought surface pro 3 can say awesome keyboard gives feel full keyboard keys spaced apart fingerprint simply awesome recognizes fingerprints very fast wish other windows applications utilize feature near future just like other ios apps iphone,5,1
lightweight very responsive especially like lighted key function excellent unit,5,-1
works surface pro 3 feels great scanner works well,4,-1
so far keyboard fantastic no problem key spacing feels fairly natural no complaint keyboard,5,-1
great keyboard fingerprint reader really quick accurate,5,-1
havent encountered much wrong occasionally touch pad little too sensitive,4,-1
keys feel like fullsize keyboard dont use touchpad fingerprint reader works advertised,5,-1
good keyboard fingerprint scanner does not work sp3,4,-1
own surface pro 3 far best typing cover device finally feels like real keyboard finger print sensor works well nice extra also backlit great,5,-1
keyboard necessary device should come free device,4,-1
keys wider spaced backlighting much better fingerprint reader works super keyboard stiffer much improved product over original surface pro 3 keyboard worth every penny extra cost,5,-1
keys seem great fingerprint recognition generally works not always could just fingerprint like way keyboard just clicks surface pro,5,-1
trackpad vast improvement over surface 3 type keyboard keypad also vastly improved,5,-1
great product overall fingerprint scanner works like charm no issues whatsoever great design too,5,-1
must accessory if plan own surface,5,-1
