content,rating,helpfulness
"Great buy, always go with white dark colors melt on the Florida sun!! Experience over $$. Cordless is cool too.",5.0,-1
Awesome product...love it,5.0,1
"Love it, easy to put up as well!!!!",5.0,-1
These go up very easily and I love the cordless feature. Color is perfect too.,5.0,-1
"When using the rod to open the blind, the rod gets stuck and snaps back to the original position. It requires frequent adjustments but ultimately works.",4.0,-1
one of the top brackets was broken.  how do I get a replacement?,4.0,-1
I love the sting free pushing and pulling to adjust the blind height. No tangles. Very hands free. Nothing getting stuck. And fast!,4.0,-1
Very agitating to order a 25 x 72 inch blind (a replacement) and it comes in the box that says 25x72 but it's actually measuring at 24.5 x 72 and that little bit throws it all off.  Contacted walmart and they contacted seller but never heard anything from seller so got a refund.  Just agitating .,3.0,-1
I was so happy to be able to order these blinds for my narrow windows with out special ordering. The first set went up well but the 2nd set drooped. I tried to re-adjust the placement of the bracket to see if that would help and the bottom support of the bracket snapped off. Now I have no privacy between my front window and the street.,2.0,-1
"The blind was suppose to have been with 2"" Slat.  The item was a 1"" mini-blind.  There was no size of slat on the description on line or on the product.  I have returned and hoping to receive full credit.  Returned last week and have not received any confirmation.",1.0,-1
"Bought these because they had a cord and my window is really high. But when i recevied them, they were cordless. Had to return.",1.0,-1
Very nice. Delivery was in a timely manner.,5.0,-1
very easy to install and we replaced some blinds that had to be 35 years old on french doors.,5.0,-1
Blind has several pin holes in the slats and a crack in one of the slats.,2.0,-1
Great item and worth the price. Beautiful.,5.0,1
Easy to install. Fits great.,5.0,-1
one arrived broken. very cheap made.,1.0,-1
"Good product and price. Blinds arrived quick, too!",5.0,-1
"easy to install, good price nice looking blind",5.0,-1
Luxury for good price. Although I didnt use the flooring beacause of my weight but the elegance the frame settings give  my room is beyond comprehension. I love it,5.0,-1
Just love these sheets second set I order they are so comfortable and fit well would recommend to friends.,5.0,-1
MY WIFE SAYS THERE ADORABLE. FOR VALUE AND QUALITY WAL-MART HAS ALWAYS BEEN MY GO TO STORE.,5.0,-1
The only reason I put 4 out of 5 stars was because the color they show in picture 1 looks like a Vibrant orange like a Halloween vibe. Well scroll to picture 4 And thats the actual color It is more like a burnt orange give me like a Thanksgiving vibe. However the sheets are super soft not a weird silky soft like a quilt type soft and they fit over my 18 inch thick king size mattress no problem. I did not need to stretch to fit that last corner of the mattress the sheets went on no problem and got very nicely. I would definitely try again and hope the color shown 6 out of 7 pictures is the color Im  getting! Other than that I purchased a very good quality set of sheets for a really good price,4.0,1
I thought i would like this pink color but its not for me i should've went for a different color other than that they're soft which is a definite plus i have such sensitive skin so anything slightly scratchy is a no go. This was better than expected like i said soft I'll definitely be buying another but different color for my King size bed if it wasn't for the color i would've gave it 5 stars also love the stripe details on the pillow cases surprised it's not on the sheet also,4.0,-1
"Color is hot pink, not what I had in mind. But is workable with my shabby chic",4.0,-1
Will not stay on mattress as the elastic is extremely small and poor quality. Stitching has already come  unsown on the pillow case.,2.0,1
The sheets are not orange like in the picture. They are an ugly salmon color.,2.0,-1
Sheets arrived and were really dirty. Looks like it may have been used,1.0,1
This is really to smalle and I don't think this is the correct size that I ordered,1.0,-1
color is perfect. its soft,3.0,-1
"We've been shopping for Bed-Tite deep fitting sheet sets. Once these were applied to the beds, colors became the differences. They fit perfectly. The colors were as described. Several sizes were ordered and fit the size mattress that was purchased for. Highly recommend.",5.0,1
"Light is being used above the stairway to the basement. Lights the stairs well and can also accent the artwork. It is the perfect light the installation - well worth the money. With 5 lights, there are many wires that need to be dealt with. Overall not too difficult.",5.0,-1
"The sheets are soft and comfortable, but they also seem cheaply made.....there are already snags after one washing (and no sleeping!). Also - the color is orange. I know orange is a bright color, but holy mackerel - the brightness almost shines through my closed eyes! I was hoping for something a bit more ""peachy"" than neon.  I can't help but compare these sheets to the last set of sheets I bought from a different manufacturer. The earlier purchased sheets are soft and comfortable, but they are also very well made, and sturdy. They've been washed multiple times, and still feel like new. I don't feel confident about these new, orange sheets holding up as well.",3.0,1
This replaced a single flood light over a bar in my kitchen. I had to buy a separate adapter kit that allow the wiring to 'screw' into my existing fixture. Tricky to get device attached - you need three hands or a helper....but job was straight forward. Instructions clear. I wanted more light than given by the 100W flood I was replacing. I realize now that 30W would have been sufficient rather than the 50W bulbs I ordered. The ability to point the individual lights also let me light up a telephone near the bar.,5.0,-1
Awful quality. As I was putting them on the mattress for the first time they ripped. They will be going back.,1.0,1
"We installed this light to replace an old flourescent fixture in our medium-sized kitchen. It provides great lighting and really makes the granite countertops stand out. My husband installed it without much difficulty, the only time consuming part of the installation was getting the light bulbs in place (the included suction cup holder was a big help with tightening the bulbs into place).",4.0,1
"Ordered these sheets because I ripped a hole in my favorite set of sheets, and the only set of deep pocket sheets I had only to get it in the mail, put it on the bed and notice there was a hole in the middle of the fitted sheet. Called to get a replacement and haven't heard anything back. Do not buy.",1.0,-1
"Installed in my 17x15 kitchen as main source of lighting. Lights the room, although could benefit from 1-2 recessed lights.",4.0,-1
"Don't understand why reviews are always asked for, before you even have time to use the product! That said, I have not used this item! I gave 3 stars, inhopes the quality will be decent and that they will fit. Disappointed that the color I received is not the color depicted. They are a nice enough color, just not what I wanted! Will be keeping, and keeping fingers crossed, because reviews were decent and maybe once I wash them, they won't fall apart before the next use...",3.0,-1
